Region,Foods
서울,"마포숯불갈비, 너비아니, 닭한마리, 신당동 떡볶이, 불고기(서울식), 설렁탕, 신선로, 장충동족발, 탕평채, 신림순대, 종로육회, 왕십리 양념돼지곱창"
인천,"감자탕, 닭강정, 돼지갈비, 메밀우동, 밴댕이회무침, 물텀벙이, 짜장면, 쫄면, 젓국갈비 , 냉면, 계란빵, 계란초"
수원,왕갈비
용인,백암순대
의정부,"의정부식 부대찌개, 순무김치"
파주시,"파주식 부대찌개, 황복"
평택(송탄),송탄식 부대찌개
포천,이동갈비
광주(남한산성인근),효종갱
안산시,바지락 칼국수
특정 시군 불명,조망댕이
강원,"막국수, 팥국수, 감자수제비, 강냉이수제비, 메밀막국수, 감자범벅, 감자옹심이, 감자떡, 옥수수범벅, 고등어국, 가재미국, 도미생선국, 인삼닭곰, 삼시기국, 꾹저구탕, 쏘가리매운탕, 생선매운탕, 동치미, 채김치, 해물김치, 창란젓깍두기, 편포, 해파리냉채, 참취튀기, 대게찜, 석이볶음, 감자조림, 도치두루치기볶음, 동태구이, 감자부치기, 오징어회, 느리미, 물오징어불고기, 들깨송이부각, 명태찜, 해파리해삼냉채, 더덕장아찌, 무장아찌, 송이장아찌, 도루메기식해, 명란식해, 명태포식해, 북어식해, 오징어젓, 창란젓, 명란젓, 가자미식해, 바다게장, 총떡, 감자송편, 기장취떡, 강냉이설기, 댑싸리떡, 감자경단, 잣단자, 감자시루떡, 감자떡, 감자녹말송편, 옥수수설기, 메밀총떡, 방울증편, 강냉이보리개떡, 감떡, 무우송편, 도토리묵, 강냉이묵, 녹두묵, 올챙이묵, 메밀묵, 잣박산, 잣강정, 잣편, 잣엿, 무심리, 강냉이엿, 과질, 약과, 송화다식, 옥수수엿, 차조인절미, 석이버섯 설기, 감경단, 대열매술, 앵두화채, 책면, 장칼국수"
정선군,"곤드레밥, 감자밥, 강냉이밥, 차수수밥, 금강잣죽, 강냉이범벅, 토장아욱죽, 고구마밥"
속초,"가자미식해, 닭강정, 명태식해, 해물을 넣은순대, 회냉면"
고성,"문어숙회, 오미자장, 해삼회"
강릉시,"고지국, 초당두부"
춘천,"닭갈비, 막국수"
태백,물닭갈비
횡성,안흥찐빵
원주,메밀묵
평창,메밀국수
대전,"가락국수, 두부두루치기, 묵밥"
세종,파닭
천안,"병천순대, 호두과자"
공주,김치피자탕수육
"서산,태안","게꾹지, 도리뱅뱅이, 어리굴젓, 박속낙지탕"
청주,"짜글이, 올갱이국밥"
옥천,"도리뱅뱅이, 어죽"
광주[12],"무등산보리밥, 애호박찌개, 오리탕, 육전, 상추튀김, 새끼보국밥, 송정떡갈비, 소머리국밥, 짬짜장"
광양,"광양불고기, 기정떡"
나주,"나주곰탕, 삭힌홍어"
담양,"담양떡갈비, 대통밥, 돼지갈비, 창평국밥"
목포,"세발낙지, 홍어회, 산낙지, 연포탕"
진도,간재미회무침
순천/벌교/고흥,"꼬막정식, 짱뚱어탕"
신안,흑산도홍어
완도,매생이국
여수,"갓김치, 간장게장"
영광,굴비
장흥,장흥삼합
순천/광양,닭구이
화순,오리날개튀김
영암,갈낙탕
전주,"전주비빔밥, 콩나물국밥, 피순대, 수제 초코파이"
군산,팥칼국수
남원,추어탕
고창,짬짜장
부산·울산·경남,돼지국밥·순대국밥
부산,"구포국수, 냉채족발, 동래파전, 밀면, 부산오뎅, 유부주머니, 비빔당면, 완당, 씨앗호떡, 조방낙지, 꼼장어, 흑염소불고기"
울산,"고래고기요리, 느름떡 (누름떡), 언양불고기, 봉계불고기, 소머리국밥, 유지렁, 전복쌈, 울산쫀드기, 털게수제비, 황어쑥국"
창원,"꼬시래기 회, 미더덕회, 석쇠불고기, 아귀찜, 얼큰이, 오리불고기"
진주,"유과, 진주비빔밥, 진주냉면"
김해,뒷고기
통영,"굴국밥, 꿀빵, 떼뻬기죽, 우짜, 시락국, 충무김밥"
창녕,수구레- 주로수구레국밥으로 먹는다.
하동,재첩국
"거창,함양",어탕국수
거제시,"거제대구탕, 굴구이, 멍게/성게비빔밥, 도다리쑥국, 물메기탕, 멸치쌈밥,멸치회무침, 거제생선회,물회, 바람의 핫도그, 볼락구이, 멸치간장"
대구·경북,"갱시기, 콩잎장아찌"
대구,"곱창·막창, 납작만두, 따로국밥, 복어불고기, 볶음짬뽕/중화 야끼우동, 양념치킨·간장치킨, 육개장, 중화비빔밥, 찜갈비, 무침회, 찜닭- 고춧가루ㆍ고추장을 넣어 화끈하다., 누른국수, 뭉티기"
"포항,영덕,울진","물회, 과메기, 대게, 문어, 모리국수"
"경산,영천","상어돔배기, 돼지찌개"
구미,"선산곱창, 갱시기"
경주,"경주빵·황남빵·찰보리빵, 팔우정해장국, 보신탕"
안동[19],"간고등어, 안동건진국시, 안동식혜, 안동소주, 안동찜닭, 헛제삿밥"
예천,태평추(태평초)
청송,"닭백숙, 닭불고기"
제주도,"고기국수, 과즐, 갈치호박국, 귤속과일을 이용한 음식, 꿩엿, 다금바리·자바리, 돌래떡, 빙떡, 된장물회, 자리물회, 한치물회, 겡이죽(깅이죽), 돔베고기, 막창순대, 말고기요리, 몸국, 보말칼국수, 애저회, 오메기떡, 오분자기, 옥돔구이, 오겹살, 자굴밥, 전복죽, 상애떡, 해물뚝배기, 흑돼지, 호박잎국"
